influencer_ID,followers,avg_likes,avg_comments
inf245,403690,91460,1874
inf246,500046,90761,1167
inf247,452269,57811,1588
inf248,22959,74813,1273
inf249,661890,7450,1544
inf250,751216,82735,2678
inf251,906533,94804,4757
inf252,791180,48042,4897
inf253,229576,41832,2459
inf254,538833,53045,144
inf255,915091,11361,4517
inf256,984703,89117,3427
inf257,166838,9656,1998
inf258,336674,2638,487
inf259,880989,62115,3242
inf260,62087,10355,3832
inf261,594128,57680,4315
inf262,119451,89316,1011
inf263,448600,56091,2769
inf264,838437,51055,4214
inf265,440792,95848,1507
inf266,40353,16715,4278
inf267,194075,18757,897
inf268,215283,69749,4894
inf269,315877,63416,4451
inf270,66318,87798,2007
inf271,766313,18982,117
inf272,483690,44011,3426
inf273,417880,17944,2629
inf274,592460,65783,4615
inf275,741976,10585,1164
inf276,782239,93515,770
inf277,94264,26634,3234
inf278,771746,65666,1426
inf279,814168,76818,21
inf280,226281,82113,3449
inf281,638147,11933,2763
inf282,899613,45954,1964
inf283,395070,83723,1734
inf284,353228,98643,3562
inf285,432839,4927,3210
inf286,270536,78875,2966
inf287,318824,72927,640
inf288,258426,48413,4321
inf289,178789,46086,2165
inf290,514153,81812,3339
inf291,743452,75090,1715
inf292,838291,71384,3106
inf293,126657,86041,3623
inf294,236167,92822,450
inf295,682669,16399,2995
inf296,481671,98120,4931
inf297,720094,52920,641
inf298,71467,92184,180
inf299,184734,32063,578
inf300,623794,96731,1803
inf301,110751,21940,4215
inf302,382050,73194,2795
inf303,931192,1673,699
inf304,812774,48663,2281
inf305,693517,91691,170
inf306,462079,33163,3934
inf307,369452,86787,2377
inf308,970587,43891,3586
inf309,107081,72985,4513
inf310,984237,26871,2564
inf311,614333,68519,113
inf312,559986,6624,2923
inf313,111078,81008,1088
inf314,868055,61244,4590
inf315,23671,25852,4352
inf316,419400,49376,198
inf317,356528,85756,4104
inf318,960611,31628,4632
inf319,611490,63618,1898
inf320,52663,60977,4023
inf321,16708,63014,2774
inf322,879338,79776,4667
inf323,312955,92913,1586
inf324,134883,24730,602
inf325,319394,65282,4426
inf326,113547,96222,4059
inf327,990586,92654,3465
inf328,911681,846,2852
inf329,560042,28254,382
inf330,752102,25931,3934
inf331,763002,12192,4782
inf332,143483,95316,4088
inf333,659271,51360,4090
inf334,985774,76944,408
inf335,215835,35764,3728
inf336,402896,99527,246
inf337,85896,89202,1166
inf338,478095,378,4985
inf339,72295,97852,956
inf340,744974,41141,4756
inf341,888121,76879,1073
inf342,274255,41689,1971
inf343,300648,59840,4269
inf344,658162,56937,3543
inf345,9155,72259,2265
inf346,467872,78516,2333
inf347,826816,63046,3063
inf348,375705,68873,1527
inf349,572542,17839,1942
inf350,809350,41125,4549
inf351,611269,64050,2029
inf352,979217,70354,851
inf353,555594,15330,3514
inf354,148718,32315,2243
inf355,309987,36451,1404
inf356,646263,81142,3657
inf357,359745,1536,2407
inf358,108512,85326,4257
inf359,148443,4040,1615
inf360,471587,28034,367
inf361,374616,39770,468
inf362,658409,1827,417
inf363,687976,74240,1232
inf364,366871,87715,3987
inf365,376037,57342,818
inf366,808364,42868,2244
inf367,118796,66002,1449
inf368,292999,59808,2491
inf369,193506,70333,2709
inf370,991198,64609,3795
inf371,699376,58962,716
inf372,270544,9167,139
inf373,381002,46989,589
inf374,699002,50113,2490
inf375,540439,32239,3268
inf376,969911,23846,4877
inf377,591978,42741,3084
inf378,529787,29068,3451
inf379,531583,48009,1141
inf380,908317,57974,2229
inf381,389215,47457,3228
inf382,322184,4531,2130
inf383,799615,44178,424
inf384,423515,99162,166
inf385,669234,56052,1385
inf386,379480,93764,2945
inf387,33711,28975,71
inf388,792971,19507,2900
inf389,502157,5997,876
inf390,185423,33066,4422
inf391,979771,51101,622
inf392,517349,46251,2362
inf393,704714,92748,2817
inf394,913495,85341,3372
inf395,658917,26959,4750
inf396,825792,31920,982
inf397,738378,7860,2066
inf398,134272,78000,1153
inf399,768836,77918,4047
inf400,987001,79754,55
inf401,703335,33642,901
inf402,808789,4563,3869
inf403,644409,65351,2534
inf404,78505,38115,4634
inf405,3869,2007,552
inf406,782474,40593,2290
inf407,455351,40315,3609
inf408,313252,97385,481
inf409,637584,16050,3412
inf410,619467,65453,1164
inf411,91272,54756,4162
inf412,39467,53482,4835
inf413,810760,44899,2958
inf414,878844,24448,1995
inf415,481047,79703,3191
inf416,660347,64948,4012
inf417,59871,2541,4308
inf418,940903,44325,2087
inf419,129391,69989,3585
inf420,440430,14686,2521
inf421,611704,21188,2846
inf422,857703,96242,1012
inf423,831496,99711,590
inf424,257687,13303,2892
inf425,726451,48943,324
inf426,108450,50603,1905
inf427,172890,68426,2818
inf428,439741,56221,3292
inf429,282974,37155,1672
inf430,935933,66812,3181
inf431,401109,64036,880
inf432,117381,62112,4369
inf433,474125,53456,2742
inf434,572621,2847,327
inf435,135508,97774,3492
inf436,730650,74744,519
inf437,863645,25805,3428
inf438,400111,4838,554
inf439,151810,52078,4594
inf440,293890,16621,1213
inf441,574665,30796,4667
inf442,966908,32715,2354
inf443,841477,95566,1663
inf444,361032,84315,3502
inf445,958294,11259,4917
inf446,370599,83847,1456
inf447,661960,16507,4004
inf448,751020,67697,76
inf449,880611,16821,3378
inf450,172836,70144,862
inf451,730903,88050,2813
inf452,46714,19772,2256
inf453,975339,63711,3881
inf454,628234,18338,3547
inf455,897048,17350,1737
inf456,631271,73882,1219
inf457,467960,57962,1679
inf458,712851,22077,4277
inf459,125123,14018,732
inf460,937093,12975,728
inf461,306628,59892,146
inf462,83989,47188,3994
inf463,299356,88021,990
inf464,830957,71285,3669
inf465,179274,26539,3101
inf466,688995,91948,2452
inf467,326352,35120,4395
inf468,821260,90621,34
inf469,412927,64153,4839
inf470,790852,20833,281
inf471,884184,47272,2735
inf472,132373,94999,225
inf473,439452,49208,3692
inf474,116294,38825,1431
inf475,460451,72052,2584
inf476,972744,7510,4676
inf477,649307,29466,3992
inf478,66726,23541,3926
inf479,142564,95621,3069
inf480,378812,29829,1388
inf481,269246,24257,3403
inf482,706696,1197,1309
inf483,119015,37043,862
inf484,741674,82523,3773
inf485,255079,31900,4943
inf486,551929,75408,1261
inf487,690944,35648,3459
inf488,689105,521,2538
inf489,514758,62631,4583
inf490,941597,38229,3538
inf491,984609,70868,2852
inf492,366890,58497,1389
inf493,446101,10411,3464
inf494,37631,3755,4595
inf495,767577,76776,2561
inf496,73991,24415,418
inf497,5014,65035,4982
inf498,274237,49060,4583
inf499,19070,568,4916
inf500,823209,18153,2631
inf501,57958,6210,3548
inf502,83074,72172,2634
inf503,536017,56171,2854
inf504,756073,3235,4282
inf505,177089,66950,3818
inf506,198392,35475,2842
inf507,159823,55344,3444
inf508,631152,89874,513
inf509,394002,13469,1414
inf510,734429,71192,1706
inf511,499863,44273,840
inf512,368654,84090,1674
inf513,580036,33428,4646
inf514,531089,56481,3309
inf515,151262,62715,2872
inf516,443905,62945,3560
inf517,236362,55213,3069
inf518,445209,13981,4234
inf519,554880,19729,1860
inf520,798079,69400,2367
inf521,665076,1622,3116
inf522,220963,85997,2580
inf523,481761,4486,4678
inf524,249710,43095,3598
inf525,221984,43000,3414
inf526,898059,53888,3749
inf527,857748,36664,4168
inf528,783355,87579,3627
inf529,265512,12201,4616
inf530,602863,7660,324
inf531,269799,5597,4063
inf532,238549,69299,4200
inf533,595319,74857,4746
inf534,994933,82606,585
inf535,485299,35832,3152
inf536,613210,81450,175
inf537,449982,48522,991
inf538,125046,50425,466
inf539,407619,23397,3463
inf540,33097,94116,28
inf541,997161,44030,3142
inf542,667326,80232,502
inf543,650150,12971,2477
inf544,231229,10508,3737
inf545,119834,48789,201
inf546,94848,81443,3992
inf547,53921,61089,3956
inf548,706086,71493,3276
inf549,651429,81131,4236
inf550,706660,58581,3796
inf551,285821,83410,2783
inf552,56609,23075,2531
inf553,228897,51063,4738
inf554,975165,93123,1706
inf555,32024,16815,3693
inf556,71313,19514,1422
inf557,390957,91956,2931
inf558,185078,84420,4797
inf559,358429,29916,2845
inf560,933842,39276,2813
inf561,462243,80268,2638
inf562,114632,91234,2536
inf563,998639,35753,2451
inf564,938012,34590,2094
inf565,252451,51688,3322
inf566,4051,76945,4127
inf567,705107,16400,1108
inf568,377836,4845,1091
inf569,612523,8300,2231
inf570,972525,67036,676
inf571,722772,76484,2576
inf572,190407,46414,1772
inf573,450395,28699,4271
inf574,950597,37592,1633
inf575,463894,68761,79
inf576,212810,18709,3042
inf577,958238,26997,1388
inf578,728975,63813,287
inf579,74523,95281,1742
inf580,761463,55988,3602
inf581,95476,37375,987
inf582,234841,16031,316
inf583,804451,83981,1030
inf584,871045,37333,4425
inf585,223866,40734,1558
inf586,87672,11236,364
inf587,599135,74345,325
inf588,345894,43565,2952
inf589,735994,87683,970
inf590,29251,42266,453
inf591,628769,39103,458
inf592,375710,27099,2724
inf593,551233,76688,47
inf594,878284,67455,4485
inf595,33217,59826,3978
inf596,9308,33647,296
inf597,269093,81479,68
inf598,184062,68223,4325
inf599,395366,55645,334
inf600,745840,32876,3231
inf601,101235,47608,3205
inf602,75740,78596,2081
inf603,379496,22051,4694
inf604,854049,37473,2506
inf605,751201,85793,3364
inf606,804328,81192,646
inf607,918230,15140,3816
inf608,178247,70714,3220
inf609,664165,82514,568
inf610,530525,46283,4613
inf611,21056,88488,4764
inf612,177615,91161,544
inf613,188628,86112,4133
inf614,639836,43384,234
inf615,374632,16002,438
inf616,135415,55314,2626
inf617,407716,42339,4356
inf618,447438,52679,4200
inf619,554663,36118,2387
inf620,666022,86928,4915
inf621,542252,7665,2062
inf622,638717,23662,3406
inf623,253764,44086,53
inf624,715998,74145,4513
inf625,467882,83904,1841
inf626,741427,68624,1808
inf627,513153,33053,2167
inf628,68215,6902,682
inf629,856474,15339,4920
inf630,145356,43907,1011
inf631,204861,22940,600
inf632,356612,45431,150
inf633,455605,88775,1222
inf634,10435,29719,2133
inf635,448556,45993,3396
inf636,700438,30482,2539
inf637,866264,68461,4307
inf638,576581,78522,1157
inf639,79781,4707,963
inf640,192475,11229,1680
inf641,161196,87654,1172
inf642,227507,15897,4653
inf643,307063,66280,1525
inf644,765121,24225,4498
inf645,777665,57489,1783
inf646,691607,83683,565
inf647,122172,97624,4412
inf648,357902,50947,2878
inf649,485963,47251,1274
inf650,456968,94637,2826
inf651,319717,46576,2029
inf652,60101,90145,1364
inf653,496972,1274,2910
inf654,289790,93841,810
inf655,891617,95231,797
inf656,548337,55038,1930
inf657,735965,69088,3191
inf658,361260,13679,755
inf659,884811,41427,4048
inf660,593673,88490,2661
inf661,651419,38440,41
inf662,434374,69718,4840
inf663,721777,11820,62
inf664,548577,59305,1176
inf665,373370,59848,4135
inf666,888225,22559,1238
inf667,272967,60338,279
inf668,192232,77785,3917
inf669,305119,90645,1679
inf670,10540,8113,4664
inf671,541652,3534,926
inf672,398827,18371,3770
inf673,552951,58252,1377
inf674,52991,109,1813
inf675,189751,60177,11
inf676,367326,97490,4247
inf677,687337,75414,4782
inf678,619992,4289,492
inf679,50115,33948,4716
inf680,354151,53536,364
inf681,744583,84276,4327
inf682,192962,18721,2732
inf683,722747,53644,2950
inf684,150143,234,3050
inf685,715635,98016,2432
inf686,990873,53655,584
inf687,537226,12252,2450
inf688,953699,34218,2519
inf689,354824,86880,2669
inf690,5000,57508,3047
inf691,726948,29333,4983
inf692,888474,25655,3053
inf693,356754,48248,67
inf694,252492,29392,3644
inf695,891123,69869,1781
inf696,500522,8503,2319
inf697,492072,52377,3598
inf698,39304,63639,1898
inf699,505999,5470,3879
inf700,332593,4580,1144
inf701,608274,6690,1485
inf702,152836,30319,4318
inf703,109940,17831,4510
inf704,825926,45970,1978
inf705,266517,63738,3624
inf706,668521,21595,1503
inf707,622820,43412,3318
inf708,880090,44911,3823
inf709,386777,48636,4094
inf710,625674,89163,734
inf711,552638,78111,4406
inf712,618296,92061,3045
inf713,881729,81782,213
inf714,550639,35750,2490
inf715,613956,45923,141
inf716,639873,85960,596
inf717,933809,72242,1042
inf718,338497,80772,4815
inf719,208869,69333,3129
inf720,66953,98169,1716
inf721,844890,14172,4356
inf722,501328,41707,3770
inf723,807790,96548,3195
inf724,4267,46439,1594
inf725,83745,17134,1011
inf726,877020,63400,3439
inf727,825945,59237,406
inf728,158164,48546,3782
inf729,536626,66490,2909
inf730,132484,42697,4434
inf731,532831,40336,4298
inf732,893323,2639,162
inf733,952000,94124,795
inf734,61692,62434,4647
inf735,221156,34334,4508
inf736,224992,28216,638
inf737,517771,64377,1844
inf738,831857,6042,4956
inf739,564044,86258,2417
inf740,544176,94962,491
inf741,692095,21274,4961
inf742,834727,54022,1851
inf743,115352,99024,2161
inf744,870474,95906,1847
inf745,86999,63503,4722
inf746,18955,16343,384
inf747,825273,10892,1169
inf748,71640,22649,2931
inf749,197582,67673,995
inf750,953415,18489,2078
inf751,977535,48800,2856
inf752,745086,32868,3135
inf753,401573,59022,1406
inf754,426695,24302,2040
inf755,62476,4015,620
inf756,307955,26709,1945
inf757,168280,24848,145
inf758,676510,29082,1331
inf759,596468,34035,1698
inf760,699646,37874,3140
inf761,638144,32993,675
inf762,855882,22484,3183
inf763,415568,54626,26
inf764,187141,58551,1391
inf765,899320,38958,4452
inf766,635736,50064,4272
inf767,539685,9754,3428
inf768,960059,19328,1110
inf769,179031,42802,3304
inf770,919232,35145,2019
inf771,969021,15682,2796
inf772,120180,47582,4237
inf773,67234,67638,1254
inf774,565242,15442,3281
inf775,179352,36214,2486
inf776,80459,78711,2229
inf777,410995,58257,2956
inf778,196004,96119,595
inf779,467152,12644,3264
inf780,942970,39776,3223
inf781,955443,13459,3444
inf782,726256,81087,2942
inf783,953774,70603,4371
inf784,60163,2869,477
inf785,476853,7481,1823
inf786,52934,26960,4849
inf787,721255,31243,4912
inf788,426523,47375,3518
inf789,841530,83033,171
inf790,455137,29282,1134
inf791,6486,14611,278
inf792,140407,80900,3834
inf793,874332,62205,1338
inf794,651308,41362,948
inf795,628083,16361,4429
inf796,221184,93481,3106
inf797,667490,14347,3913
inf798,350652,18206,340
inf799,762315,63993,4574
inf800,643612,8076,3935
inf801,323710,97003,3562
inf802,198775,93542,3364
inf803,290336,72435,3873
inf804,788494,5085,2404
inf805,609364,3793,620
inf806,90780,55029,3248
inf807,153617,71213,1190
inf808,546977,90647,1496
inf809,798606,10720,1235
inf810,351605,79384,550
inf811,913606,78590,2811
inf812,890465,3713,570
inf813,534636,60959,3762
inf814,942218,5421,986
inf815,39102,63256,4236
inf816,75460,23170,3105
inf817,365778,44137,1303
inf818,90930,89074,3060
inf819,532089,14299,1413
inf820,628438,22211,830
inf821,728627,61106,2974
inf822,180208,66413,760
inf823,155697,39778,3807
inf824,214945,71414,1175
inf825,232915,71507,446
inf826,728952,53719,4127
inf827,209124,73763,82
inf828,438477,58119,2309
inf829,526830,28035,3562
inf830,284821,68976,2022
inf831,178804,43413,2507
inf832,706703,12152,1865
inf833,40081,4955,2520
inf834,719216,98647,932
inf835,356249,99741,1390
inf836,220930,75203,2775
inf837,806497,54512,1005
inf838,518313,26781,380
inf839,215532,33579,2259
inf840,613380,33966,132
inf841,520332,57548,4221
inf842,317837,94700,3984
inf843,290106,57480,2354
inf844,29295,37098,1041
inf845,14807,60188,2603
inf846,436564,19688,2402
inf847,158504,35389,717
inf848,239067,37429,4742
inf849,486008,9823,2638
inf850,976358,47151,271
inf851,958766,45669,4299
inf852,693440,36510,2972
inf853,395540,81327,3530
inf854,878699,55318,2811
inf855,518923,59750,3084
inf856,167981,35230,1133
inf857,745699,66355,2269
inf858,20870,20793,1284
inf859,953082,44087,2589
inf860,204196,16613,501
inf861,249683,73339,2571
inf862,235677,97090,4400
inf863,27790,41247,4060
inf864,644162,95338,4310
inf865,812721,85103,2188
inf866,449345,87120,339
inf867,750074,83912,1582
inf868,488462,35554,3502
inf869,540773,23289,2298
inf870,831914,83111,2764
inf871,87188,18491,4761
inf872,530036,7088,3695
inf873,743129,26405,1703
inf874,665795,81491,2313
inf875,791141,51965,3160
inf876,649249,48009,1549
inf877,31355,43083,4484
inf878,712131,95476,4018
inf879,452015,51835,4674
inf880,407332,27572,3334
inf881,157542,81623,441
inf882,174416,14614,3077
inf883,306062,87306,2681
inf884,839656,8617,1701
inf885,564586,35347,952
inf886,502708,59900,777
inf887,867651,73096,1150
inf888,62629,56806,1513
inf889,329184,35391,1152
inf890,493734,18080,1542
inf891,756195,82768,3306
inf892,291160,6459,1959
inf893,549248,51471,4821
inf894,821023,12747,1037
inf895,214920,86902,3939
inf896,890765,80702,2379
inf897,243804,53326,4884
inf898,377965,58123,3746
inf899,461857,25396,1804
inf900,823827,74208,1884
inf901,505492,85553,3859
inf902,654983,14285,3089
inf903,416916,70669,2941
inf904,822052,88660,1811
inf905,759574,70770,1742
inf906,129148,59549,2823
inf907,807991,57475,3859
inf908,487261,31767,4748
inf909,356540,34668,1983
inf910,193714,76292,1163
inf911,732899,89974,2082
inf912,284876,75671,3898
inf913,260747,70330,2460
inf914,616650,42380,656
inf915,424570,71640,4669
inf916,276987,29214,2998
inf917,639353,49666,4119
inf918,859158,43795,3839
inf919,18640,42852,145
inf920,53528,97919,988
inf921,825845,27128,4124
inf922,260214,78748,2670
inf923,840070,93630,4567
inf924,971240,65365,1179
inf925,502108,8793,2551
inf926,635421,92866,1645
inf927,369501,40046,4137
inf928,725226,52641,3096
inf929,151159,60984,1566
inf930,173502,10225,770
inf931,156576,27739,1148
inf932,925618,18846,1353
inf933,866291,50309,3568
inf934,887089,4369,59
inf935,929479,25244,62
inf936,12023,56103,749
inf937,546735,33892,272
inf938,389043,14573,2475
inf939,287103,91117,1479
inf940,67203,95395,39
inf941,906588,72061,3962
inf942,161775,57714,4356
inf943,10337,23300,3395
inf944,571715,47447,1555
inf945,515723,95722,1587
inf946,324673,69330,2502
inf947,365167,26848,3382
inf948,347809,87591,2796
inf949,631075,94142,3204
inf950,688281,78011,2497
inf951,296451,71111,3486
inf952,421571,23731,4853
inf953,128016,25765,3675
inf954,792267,50216,135
inf955,545447,54893,3701
inf956,498562,94020,2572
inf957,703965,39288,1150
inf958,384934,26861,3518
inf959,893048,45524,3248
inf960,956592,70966,1590
inf961,866184,24907,2502
inf962,318428,52081,3125
inf963,320187,13517,2455
inf964,691907,71081,1606
inf965,884439,68018,1708
inf966,83844,77675,3528
inf967,552820,53440,3732
inf968,166421,36686,1027
inf969,123402,37390,4332
inf970,119012,19456,4624
inf971,439661,13640,260
inf972,399929,46349,2304
inf973,581466,39292,2975
inf974,574695,14642,1417
inf975,464556,44693,3251
inf976,576278,57262,3597
inf977,994176,56683,4379
inf978,130473,48192,395
inf979,984049,68261,3958
inf980,479007,56644,3257
inf981,845573,92425,1495
inf982,418009,70846,2052
inf983,319714,51889,1795
inf984,227156,77442,930
inf985,169964,51590,2418
inf986,526303,3389,951
inf987,62813,86548,114
inf988,28712,78837,343
inf989,625785,32105,345
inf990,926919,8891,653
inf991,768214,45544,3182
inf992,113816,77830,2313
inf993,129778,45625,4731
inf994,587580,45533,2399
inf995,286977,6335,2137
inf996,136230,38203,3809
inf997,719040,68346,725
inf998,807741,67849,1401
inf999,270114,62811,533
inf1000,335618,81409,1551
inf1001,833972,70540,4075
inf1002,152456,1330,4861
inf1003,805449,43237,636
inf1004,863312,24489,3491
inf1005,106570,56033,2884
inf1006,271846,98047,3384
inf1007,918888,14544,106
inf1008,1404,33992,576
inf1009,959447,94378,3311
inf1010,704286,74794,303
inf1011,947693,28692,4153
inf1012,275907,10756,3006
inf1013,674744,87493,2445
inf1014,716460,91899,3685
inf1015,885574,24054,1394
inf1016,666220,28453,2523
inf1017,236365,18175,3311
inf1018,343786,49159,409
inf1019,51612,51000,4017
inf1020,811006,26010,678
inf1021,810956,62291,2009
inf1022,201244,30974,4968
inf1023,798348,51602,1607
inf1024,5809,83036,4042
inf1025,164273,15121,367
inf1026,709690,52164,3971
inf1027,145528,54350,2282
inf1028,507964,19799,1266
inf1029,450613,41782,1190
inf1030,908720,3242,1418
inf1031,39765,86132,1843
inf1032,953320,52213,2183
inf1033,832538,73160,343
inf1034,317076,35660,2254
inf1035,935604,65905,4229
inf1036,844523,23462,332
inf1037,547237,51359,1328
inf1038,202152,87887,3494
inf1039,300888,32876,4219
inf1040,701903,7344,2191
inf1041,895751,51865,2871
inf1042,93193,77480,513
inf1043,37187,14266,492
inf1044,506950,9013,4982
inf1045,139311,59864,56
inf1046,911886,96055,3697
inf1047,801921,48693,36
inf1048,509153,83805,4851
inf1049,190089,29280,845
inf1050,587165,31837,3176
inf1051,437341,56569,2785
inf1052,313066,74978,2873
inf1053,619362,92920,4616
inf1054,688409,54865,4921
inf1055,562419,47294,4038
inf1056,961448,11272,1721
inf1057,641053,71082,4697
inf1058,861395,49846,4290
inf1059,632172,79975,3934
inf1060,126917,66444,3396
inf1061,811717,42657,4494
inf1062,300770,21461,3535
inf1063,699168,39592,4062
inf1064,482680,38224,1554
inf1065,972375,67377,2905
inf1066,282342,71130,4076
inf1067,938262,68027,112
inf1068,540542,12627,265
inf1069,45238,27160,2478
inf1070,2252,57374,1718
inf1071,827196,6174,2028
inf1072,865141,20805,468
inf1073,955945,27878,4419
inf1074,486450,33395,2639
inf1075,316826,45810,1099
inf1076,322638,73886,4416
inf1077,606605,70848,1834
inf1078,328359,7896,236
inf1079,603875,7799,224
inf1080,7949,53539,4920
inf1081,764185,56660,3431
inf1082,318537,31808,2126
inf1083,729913,16506,1408
inf1084,663301,5342,3826
inf1085,551222,74807,4967
